Target ceiling (kWh),Target ceiling (%),Mean cost (€),Std cost (€),Mean penalty (min),Mean charged (kWh),mean_charge_cost,mean_penalty_cost
10.0,0.25,0.0006437215466197918,0.0003850820141974503,0.0,22.825,0.0006437215466197918,0.0
20.0,0.5,0.02043465684895459,0.0339529449117486,0.0,24.429166666666667,0.02043465684895459,0.0
30.0,0.75,0.11208197108208957,0.12857169547290995,0.0,29.644999999999992,0.11208197108208957,0.0
40.0,1.0,0.3832161850544912,0.28485249936671725,0.0,36.2725,0.3832161850544912,0.0
