γ,Target ceiling (kWh),Expected cost (€),Expected charging (€),Expected penalty (€),Expected penalty min,Expected energy charged (kWh)
0.05,26.06935189953466,1.8568031087829429,0.6127011240238016,1.2441019847591412,0.07464611908554847,36.51082884855904
0.1,27.184444338470854,1.7505028638995,0.6371985277475098,1.1133043361519903,0.06679826016911942,37.61987878260062
0.15,28.347233826116376,1.6862395974314675,0.6640052159734846,1.0222343814579828,0.06133406288747897,38.782427731551174
0.2,29.559760559656805,1.6509555522649535,0.6934688613289022,0.9574866909360512,0.057449201456163064,39.99207357526174
0.25,30.824152003827155,1.6354531713158231,0.7256514168222917,0.9098017544935305,0.05458810526961184,41.2551435486676
0.3,32.14262662370066,1.633997396083621,0.761128715545228,0.8728686805383927,0.05237212083230356,42.571032385987046
0.35,33.517497777144165,1.642803946285308,0.7998465052327094,0.8429574410525984,0.050577446463155894,43.94370685502971
0.4,34.95117777376968,1.6600946120639832,0.8423822424321978,0.8177123696317856,0.04906274217790713,45.37843030182656
0.45,36.446182107503844,1.6846949402019935,0.8890017030963682,0.7956932371056252,0.04774159422633751,46.87515693839132
0.5,38.00513387020166,1.7162383290787788,0.9403369276873446,0.7759014013914348,0.046554084083486075,48.430822994775546
0.55,39.63076835404843,1.754659303274564,0.9968279272003499,0.7578313760742142,0.04546988256445285,50.05871660810281
0.6,40.0,1.7641921403368983,1.0102204320338486,0.7539717083030497,0.04523830249818299,50.42686222846956
0.65,40.0,1.7641921403368983,1.0102204320338486,0.7539717083030497,0.04523830249818299,50.42686222846956
0.7,40.0,1.7641921403368983,1.0102204320338486,0.7539717083030497,0.04523830249818299,50.42686222846956
0.75,40.0,1.7641921403368983,1.0102204320338486,0.7539717083030497,0.04523830249818299,50.42686222846956
0.8,40.0,1.7641921403368983,1.0102204320338486,0.7539717083030497,0.04523830249818299,50.42686222846956
0.85,40.0,1.7641921403368983,1.0102204320338486,0.7539717083030497,0.04523830249818299,50.42686222846956
0.9,40.0,1.7641921403368983,1.0102204320338486,0.7539717083030497,0.04523830249818299,50.42686222846956
0.95,40.0,1.7641921403368983,1.0102204320338486,0.7539717083030497,0.04523830249818299,50.42686222846956
1.0,40.0,1.7641921403368983,1.0102204320338486,0.7539717083030497,0.04523830249818299,50.42686222846956
