γ,Target ceiling (kWh),Expected cost (€),Expected charging (€),Expected penalty (€),Expected penalty min,Expected energy charged (kWh)
0.05,26.06935189953466,3.7984312103677476,0.6427678935097392,3.1556633168580044,0.18933979901148024,36.659343012065854
0.1,27.184444338470854,3.2805846430424817,0.6668385928956073,2.6137460501468714,0.15682476300881226,37.76293318525615
0.15,28.347233826116376,2.9155555492632192,0.6933786721103747,2.222176877152843,0.13333061262917056,38.92141133211237
0.2,29.559760559656805,2.6627330568451355,0.722687647793315,1.94004540905182,0.11640272454310918,40.12819995224688
0.25,30.824152003827155,2.490570874452502,0.7547967764788317,1.7357740979736698,0.10414644587842016,41.38932849942557
0.3,32.14262662370066,2.3760544806768302,0.7902376123866273,1.5858168682902016,0.09514901209741213,42.70398440806282
0.35,33.517497777144165,2.3024167355598384,0.828952881488239,1.4734638540715996,0.08840783124429596,44.07588874477567
0.4,34.95117777376968,2.2584804501195905,0.8715068310906747,1.386973619028915,0.08321841714173492,45.51010949496634
0.45,36.446182107503844,2.2363930362786433,0.9181725551177055,1.3182204811609377,0.07909322886965622,47.00653375389653
0.5,38.00513387020166,2.2309841803598363,0.9695347541037087,1.261449426256127,0.07568696557536761,48.56211609191884
0.55,39.63076835404843,2.239028087949193,1.025961107480587,1.213066980468606,0.07278401882811637,50.18991298451784
0.6,40.0,2.242470444792458,1.0393255113474722,1.203144933444986,0.07218869600669914,50.55805223659306
0.65,40.0,2.242470444792458,1.0393255113474722,1.203144933444986,0.07218869600669914,50.55805223659306
0.7,40.0,2.242470444792458,1.0393255113474722,1.203144933444986,0.07218869600669914,50.55805223659306
0.75,40.0,2.242470444792458,1.0393255113474722,1.203144933444986,0.07218869600669914,50.55805223659306
0.8,40.0,2.242470444792458,1.0393255113474722,1.203144933444986,0.07218869600669914,50.55805223659306
0.85,40.0,2.242470444792458,1.0393255113474722,1.203144933444986,0.07218869600669914,50.55805223659306
0.9,40.0,2.242470444792458,1.0393255113474722,1.203144933444986,0.07218869600669914,50.55805223659306
0.95,40.0,2.242470444792458,1.0393255113474722,1.203144933444986,0.07218869600669914,50.55805223659306
1.0,40.0,2.242470444792458,1.0393255113474722,1.203144933444986,0.07218869600669914,50.55805223659306
