γ,Target ceiling (kWh),Expected cost (€),Expected charging (€),Expected penalty (€),Expected penalty min,Expected energy charged (kWh)
0.05,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.1,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.15,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.2,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.25,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.3,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.35,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.4,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.45,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.5,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.55,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.6,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.65,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.7,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.75,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.8,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.85,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.9,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
0.95,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
1.0,25.0,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
