gamma,target_kwh,mean_cost,std_cost,mean_charge_cost,mean_penalty_cost,mean_penalty,mean_charged
0.1,25.0,0.26261043200538076,2.396461167028833,0.16261043200538075,0.1,0.006,32.221199999999996
0.2,25.0,0.26261043200538076,2.396461167028833,0.16261043200538075,0.1,0.006,32.221199999999996
0.3,25.0,0.26261043200538076,2.396461167028833,0.16261043200538075,0.1,0.006,32.221199999999996
0.4,25.0,0.26261043200538076,2.396461167028833,0.16261043200538075,0.1,0.006,32.221199999999996
0.5,25.0,0.26261043200538076,2.396461167028833,0.16261043200538075,0.1,0.006,32.221199999999996
0.6,25.0,0.26261043200538076,2.396461167028833,0.16261043200538075,0.1,0.006,32.221199999999996
0.7,25.0,0.26261043200538076,2.396461167028833,0.16261043200538075,0.1,0.006,32.221199999999996
0.8,25.0,0.26261043200538076,2.396461167028833,0.16261043200538075,0.1,0.006,32.221199999999996
0.9,25.0,0.26261043200538076,2.396461167028833,0.16261043200538075,0.1,0.006,32.221199999999996
1.0,25.0,0.26261043200538076,2.396461167028833,0.16261043200538075,0.1,0.006,32.221199999999996
