gamma,target_kwh,mean_cost,std_cost,mean_charge_cost,mean_penalty_cost,mean_penalty,mean_charged
0.1,27.184444338470854,0.6926792048386662,4.473040520740071,0.45934587150533274,0.23333333333333334,0.014,41.12560833333333
0.2,29.559760559656805,0.7412063597034951,4.317416252595041,0.5245396930368283,0.21666666666666667,0.013,43.31635
0.3,32.14262662370066,0.8199891944252048,4.323977254982495,0.603322527758538,0.21666666666666667,0.013,45.79510833333334
0.4,34.95117777376968,0.9161140849836525,4.331822385268702,0.6994474183169859,0.21666666666666667,0.013,48.543
0.5,38.00513387020166,1.0241529747694043,4.037464227430912,0.8241529747694042,0.20000000000000004,0.012,51.45497499999999
0.6,40.0,1.1114634376525092,3.934225573270553,0.9281301043191758,0.18333333333333335,0.011,53.294908333333325
0.7,40.0,1.1114634376525092,3.934225573270553,0.9281301043191758,0.18333333333333335,0.011,53.294908333333325
0.8,40.0,1.1114634376525092,3.934225573270553,0.9281301043191758,0.18333333333333335,0.011,53.294908333333325
0.9,40.0,1.1114634376525092,3.934225573270553,0.9281301043191758,0.18333333333333335,0.011,53.294908333333325
1.0,40.0,1.1114634376525092,3.934225573270553,0.9281301043191758,0.18333333333333335,0.011,53.294908333333325
