"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2016 05:00:00 - 03/01/2016 06:00:00","BZN|DK1","Without Sequence","6.76","",""
"03/01/2016 06:00:00 - 03/01/2016 07:00:00","BZN|DK1","Without Sequence","0.75","",""
"03/01/2016 07:00:00 - 03/01/2016 08:00:00","BZN|DK1","Without Sequence","4.27","",""
"03/01/2016 08:00:00 - 03/01/2016 09:00:00","BZN|DK1","Without Sequence","9.11","",""
"03/01/2016 09:00:00 - 03/01/2016 10:00:00","BZN|DK1","Without Sequence","15.92","",""
"03/01/2016 10:00:00 - 03/01/2016 11:00:00","BZN|DK1","Without Sequence","16.70","",""
"03/01/2016 11:00:00 - 03/01/2016 12:00:00","BZN|DK1","Without Sequence","16.49","",""
"03/01/2016 12:00:00 - 03/01/2016 13:00:00","BZN|DK1","Without Sequence","16.37","",""
"03/01/2016 13:00:00 - 03/01/2016 14:00:00","BZN|DK1","Without Sequence","16.35","",""
"03/01/2016 14:00:00 - 03/01/2016 15:00:00","BZN|DK1","Without Sequence","16.35","",""
"03/01/2016 15:00:00 - 03/01/2016 16:00:00","BZN|DK1","Without Sequence","16.30","",""
"03/01/2016 16:00:00 - 03/01/2016 17:00:00","BZN|DK1","Without Sequence","16.45","",""
"03/01/2016 17:00:00 - 03/01/2016 18:00:00","BZN|DK1","Without Sequence","17.22","",""
"03/01/2016 18:00:00 - 03/01/2016 19:00:00","BZN|DK1","Without Sequence","16.83","",""
"03/01/2016 19:00:00 - 03/01/2016 20:00:00","BZN|DK1","Without Sequence","16.48","",""
"03/01/2016 20:00:00 - 03/01/2016 21:00:00","BZN|DK1","Without Sequence","16.43","",""
"03/01/2016 21:00:00 - 03/01/2016 22:00:00","BZN|DK1","Without Sequence","16.43","",""
"03/01/2016 22:00:00 - 03/01/2016 23:00:00","BZN|DK1","Without Sequence","17.03","",""
"03/01/2016 23:00:00 - 04/01/2016 00:00:00","BZN|DK1","Without Sequence","14.43","",""
"04/01/2016 00:00:00 - 04/01/2016 01:00:00","BZN|DK1","Without Sequence","13.78","",""
"04/01/2016 01:00:00 - 04/01/2016 02:00:00","BZN|DK1","Without Sequence","12.77","",""
"04/01/2016 02:00:00 - 04/01/2016 03:00:00","BZN|DK1","Without Sequence","10.56","",""
"04/01/2016 03:00:00 - 04/01/2016 04:00:00","BZN|DK1","Without Sequence","3.87","",""
"04/01/2016 04:00:00 - 04/01/2016 05:00:00","BZN|DK1","Without Sequence","3.20","",""
"04/01/2016 05:00:00 - 04/01/2016 06:00:00","BZN|DK1","Without Sequence","8.67","",""
"04/01/2016 06:00:00 - 04/01/2016 07:00:00","BZN|DK1","Without Sequence","18.01","",""
"04/01/2016 07:00:00 - 04/01/2016 08:00:00","BZN|DK1","Without Sequence","19.54","",""
"04/01/2016 08:00:00 - 04/01/2016 09:00:00","BZN|DK1","Without Sequence","20.49","",""
"04/01/2016 09:00:00 - 04/01/2016 10:00:00","BZN|DK1","Without Sequence","20.49","",""
"04/01/2016 10:00:00 - 04/01/2016 11:00:00","BZN|DK1","Without Sequence","20.47","",""
"04/01/2016 11:00:00 - 04/01/2016 12:00:00","BZN|DK1","Without Sequence","20.14","",""
"04/01/2016 12:00:00 - 04/01/2016 13:00:00","BZN|DK1","Without Sequence","19.85","",""
"04/01/2016 13:00:00 - 04/01/2016 14:00:00","BZN|DK1","Without Sequence","19.83","",""
"04/01/2016 14:00:00 - 04/01/2016 15:00:00","BZN|DK1","Without Sequence","19.88","",""
"04/01/2016 15:00:00 - 04/01/2016 16:00:00","BZN|DK1","Without Sequence","20.09","",""
"04/01/2016 16:00:00 - 04/01/2016 17:00:00","BZN|DK1","Without Sequence","20.79","",""
"04/01/2016 17:00:00 - 04/01/2016 18:00:00","BZN|DK1","Without Sequence","21.07","",""
"04/01/2016 18:00:00 - 04/01/2016 19:00:00","BZN|DK1","Without Sequence","20.54","",""
"04/01/2016 19:00:00 - 04/01/2016 20:00:00","BZN|DK1","Without Sequence","19.77","",""
"04/01/2016 20:00:00 - 04/01/2016 21:00:00","BZN|DK1","Without Sequence","19.05","",""
"04/01/2016 21:00:00 - 04/01/2016 22:00:00","BZN|DK1","Without Sequence","18.50","",""
"04/01/2016 22:00:00 - 04/01/2016 23:00:00","BZN|DK1","Without Sequence","17.71","",""
"04/01/2016 23:00:00 - 05/01/2016 00:00:00","BZN|DK1","Without Sequence","17.03","",""
"05/01/2016 00:00:00 - 05/01/2016 01:00:00","BZN|DK1","Without Sequence","17.68","",""
"05/01/2016 01:00:00 - 05/01/2016 02:00:00","BZN|DK1","Without Sequence","17.33","",""
"05/01/2016 02:00:00 - 05/01/2016 03:00:00","BZN|DK1","Without Sequence","17.24","",""
"05/01/2016 03:00:00 - 05/01/2016 04:00:00","BZN|DK1","Without Sequence","17.32","",""
"05/01/2016 04:00:00 - 05/01/2016 05:00:00","BZN|DK1","Without Sequence","17.66","",""
"05/01/2016 05:00:00 - 05/01/2016 06:00:00","BZN|DK1","Without Sequence","17.92","",""
"05/01/2016 06:00:00 - 05/01/2016 07:00:00","BZN|DK1","Without Sequence","18.80","",""
"05/01/2016 07:00:00 - 05/01/2016 08:00:00","BZN|DK1","Without Sequence","20.51","",""
"05/01/2016 08:00:00 - 05/01/2016 09:00:00","BZN|DK1","Without Sequence","22.58","",""
"05/01/2016 09:00:00 - 05/01/2016 10:00:00","BZN|DK1","Without Sequence","21.73","",""
"05/01/2016 10:00:00 - 05/01/2016 11:00:00","BZN|DK1","Without Sequence","21.78","",""
"05/01/2016 11:00:00 - 05/01/2016 12:00:00","BZN|DK1","Without Sequence","21.64","",""
"05/01/2016 12:00:00 - 05/01/2016 13:00:00","BZN|DK1","Without Sequence","20.91","",""
"05/01/2016 13:00:00 - 05/01/2016 14:00:00","BZN|DK1","Without Sequence","20.61","",""
"05/01/2016 14:00:00 - 05/01/2016 15:00:00","BZN|DK1","Without Sequence","20.63","",""
"05/01/2016 15:00:00 - 05/01/2016 16:00:00","BZN|DK1","Without Sequence","20.71","",""
"05/01/2016 16:00:00 - 05/01/2016 17:00:00","BZN|DK1","Without Sequence","20.96","",""
"05/01/2016 17:00:00 - 05/01/2016 18:00:00","BZN|DK1","Without Sequence","21.23","",""
"05/01/2016 18:00:00 - 05/01/2016 19:00:00","BZN|DK1","Without Sequence","20.68","",""
"05/01/2016 19:00:00 - 05/01/2016 20:00:00","BZN|DK1","Without Sequence","20.48","",""
"05/01/2016 20:00:00 - 05/01/2016 21:00:00","BZN|DK1","Without Sequence","19.89","",""
"05/01/2016 21:00:00 - 05/01/2016 22:00:00","BZN|DK1","Without Sequence","19.39","",""
"05/01/2016 22:00:00 - 05/01/2016 23:00:00","BZN|DK1","Without Sequence","18.73","",""
"05/01/2016 23:00:00 - 06/01/2016 00:00:00","BZN|DK1","Without Sequence","17.97","",""
"06/01/2016 00:00:00 - 06/01/2016 01:00:00","BZN|DK1","Without Sequence","20.02","",""
"06/01/2016 01:00:00 - 06/01/2016 02:00:00","BZN|DK1","Without Sequence","19.63","",""
"06/01/2016 02:00:00 - 06/01/2016 03:00:00","BZN|DK1","Without Sequence","19.33","",""
"06/01/2016 03:00:00 - 06/01/2016 04:00:00","BZN|DK1","Without Sequence","19.35","",""
"06/01/2016 04:00:00 - 06/01/2016 05:00:00","BZN|DK1","Without Sequence","19.51","",""
"06/01/2016 05:00:00 - 06/01/2016 06:00:00","BZN|DK1","Without Sequence","19.81","",""
"06/01/2016 06:00:00 - 06/01/2016 07:00:00","BZN|DK1","Without Sequence","20.50","",""
"06/01/2016 07:00:00 - 06/01/2016 08:00:00","BZN|DK1","Without Sequence","22.06","",""
"06/01/2016 08:00:00 - 06/01/2016 09:00:00","BZN|DK1","Without Sequence","25.19","",""
"06/01/2016 09:00:00 - 06/01/2016 10:00:00","BZN|DK1","Without Sequence","28.24","",""
"06/01/2016 10:00:00 - 06/01/2016 11:00:00","BZN|DK1","Without Sequence","34.97","",""
