Target ceiling (kWh),Target ceiling (%),Expected cost (€),Expected charging (€),Expected penalty (€),Expected penalty min,Expected energy charged (kWh)
0.5,0.0125,415.5965005504521,0.608163703376074,414.98833684707574,24.899300210824553,8.626700455510568
1.0,0.025,415.5965005504521,0.608163703376074,414.98833684707574,24.899300210824553,8.626700455510568
1.5,0.0375,415.5965005504521,0.608163703376074,414.98833684707574,24.899300210824553,8.626700455510568
2.0,0.05,413.35500917097454,0.604807932202513,412.7502012387723,24.765012074326325,8.628387623811097
2.5,0.0625,400.4110212826459,0.5874332683869096,399.8235880142586,23.98941528085551,8.640548935452063
3.0,0.075,383.4135648292215,0.5647561952853382,382.8488086339359,22.97092851803614,8.659459967013841
3.5,0.0875,364.6016684840456,0.5404412926627505,364.061227191383,21.84367363148296,8.684604306460619
4.0,0.1,342.3632302057354,0.5115903901541272,341.8516398155814,20.511098388934865,8.718124061319337
4.5,0.1125,317.17890175197755,0.4788976287866084,316.7000041231909,19.002000247391443,8.760617377149394
5.0,0.125,290.7215787363141,0.44397168305791146,290.2776070532556,17.41665642319536,8.875056808776467
5.5,0.1375,263.1538085657967,0.4063069356983943,262.7475016300983,15.7648500978059,9.127627514573527
6.0,0.15,237.79624131642825,0.37351875024642606,237.42272256618153,14.245363353970912,9.42500890829277
6.5,0.1625,214.39755695816703,0.34487897085959457,214.05267798730756,12.843160679238451,9.71261699654235
7.0,0.175,192.6940859491091,0.31960768295771297,192.3744782661516,11.542468695969092,10.005748652655935
7.5,0.1875,172.68093320349297,0.29733864673384813,172.38359455675925,10.343015673405546,10.308177816802639
8.0,0.2,154.25119681468414,0.2776999084219025,153.97349690626245,9.23840981437574,10.621992950429723
8.5,0.2125,137.3126023308395,0.2603876586650666,137.05221467217453,8.22313288033047,10.94604495660205
9.0,0.225,121.74042586209801,0.24517726028238251,121.49524860181573,7.289714916108936,11.282629233102753
9.5,0.2375,107.57241092087283,0.2320638955451941,107.34034702532779,6.4404208215196705,11.627918677829927
10.0,0.25,94.69918397978816,0.22077380704109884,94.47841017274716,5.668704610364824,11.975472581616854
10.5,0.2625,83.0282030407287,0.21109912006160794,82.81710392066707,4.969026235240027,12.323760185889558
11.0,0.275,72.45459145809978,0.20282230296296466,72.25176915513677,4.3351061493082055,12.67638739111349
11.5,0.2875,62.972158163774395,0.19606700722119724,62.776091156553214,3.7665654693931923,13.037323573652493
12.0,0.3,54.49918637908917,0.19060970647208478,54.308576672617086,3.2585146003570262,13.401159072529172
12.5,0.3125,46.972972003535894,0.18631016613013543,46.7866618374058,2.8071997102443476,13.76696257704628
13.0,0.325,40.28807175474742,0.1830435940577791,40.10502816068965,2.4063016896413796,14.137812908917317
13.5,0.3375,34.396496774547224,0.18081523529801097,34.215681539249246,2.0529408923549552,14.521985368395454
14.0,0.35,29.247619268266305,0.17956715928132871,29.06805210898499,1.7440831265391012,14.910047424862285
14.5,0.3625,24.768394956165462,0.17911178389072868,24.58928317227475,1.4753569903364852,15.30160842533708
15.0,0.375,20.87834107695228,0.17940124802555227,20.698939828926747,1.2419363897356046,15.699131472032727
15.5,0.3875,17.517003462909248,0.18035893661501073,17.336644526294236,1.0401986715776534,16.108714024182348
16.0,0.4,14.643861680301486,0.1820391079440887,14.461822572357384,0.867709354341443,16.523752804827947
16.5,0.4125,12.203601025447261,0.18429423277800588,12.019306792669235,0.7211584075601543,16.941463655474188
17.0,0.425,10.12974426479689,0.18701950831992795,9.942724756476958,0.5965634853886174,17.364234910159837
17.5,0.4375,8.37863356832673,0.19018301554822492,8.188450552778503,0.49130703316671015,17.795840093156944
18.0,0.45,6.914119272690322,0.19387071789384533,6.720248554796472,0.40321491328778836,18.234412265507125
18.5,0.4625,5.700364895480347,0.19801111327483145,5.502353782205523,0.3301412269323315,18.674259612216026
19.0,0.475,4.69299166598098,0.20244443070548432,4.490547235275501,0.26943283411653013,19.117839447318566
19.5,0.4875,3.8618885458639176,0.20714231525180493,3.654746230612115,0.21928477383672698,19.567894813716496
20.0,0.5,3.18343341353636,0.21226594626823117,2.9711674672681276,0.17827004803608773,20.024842617891245
20.5,0.5125,2.6347783616540275,0.217737748362366,2.4170406132916566,0.14502243679749946,20.48256857234068
21.0,0.525,2.190952562280408,0.22342791786102936,1.9675246444193741,0.11805147866516255,20.94285211508691
21.5,0.5375,1.8340267027348198,0.22925734641964068,1.6047693563151748,0.09628616137891062,21.406355809368424
22.0,0.55,1.5501273360396344,0.23550311602577426,1.3146242200138594,0.07887745320083156,21.878276407652304
22.5,0.5625,1.3265914511646786,0.24201598814433237,1.084575463020346,0.0650745277812208,22.35065368351666
23.0,0.575,1.1502574761136024,0.2487345103886117,0.9015229657249907,0.05409137794349951,22.823438051540894
23.5,0.5875,1.0130151390057496,0.2556471421123929,0.7573679968933572,0.04544207981360145,23.29640496793873
24.0,0.6,0.9057847298703701,0.2627775301614952,0.6430071997088764,0.03858043198253258,23.780206062342128
24.5,0.6125,0.8241743022862253,0.2702412277881934,0.5539330744980332,0.033235984469882004,24.263742354486894
25.0,0.625,0.7616289297013493,0.2779184561453226,0.48371047355602753,0.029022628413361666,24.745971136225045
25.5,0.6375,0.7146297936279628,0.2857676010329366,0.4288621925950265,0.0257317315557016,25.227987363912753
26.0,0.65,0.6791858066988185,0.2938082832884626,0.3853775234103559,0.02312265140462136,25.717735497058545
26.5,0.6625,0.6534850457594309,0.30218020562130404,0.35130484013812663,0.021078290408287608,26.209544562516378
27.0,0.675,0.6350260549061734,0.3108264368433292,0.32419961806284386,0.019451977083770642,26.698943412960574
27.5,0.6875,0.6221973391476324,0.31963531515913374,0.30256202398849863,0.018153721439309923,27.187241897886175
28.0,0.7,0.6136101004113031,0.32861812068484275,0.2849919797264604,0.01709951878358763,27.682179589075098
28.5,0.7125,0.6086464600461128,0.33794700103380576,0.270699459012307,0.016241967540738436,28.178312232926505
29.0,0.725,0.6065113318006797,0.34759039168723993,0.25892094011343947,0.015535256406806381,28.672589954127236
29.5,0.7375,0.6064374429555943,0.3574041053882222,0.24903333756737198,0.014942000254042326,29.16598902979833
30.0,0.75,0.6080675576929516,0.3674083605061376,0.2406591971868136,0.014439551831208824,29.6621207108797
30.5,0.7625,0.6112116204021129,0.3777638005361036,0.2334478198660092,0.014006869191960557,30.16178359863992
31.0,0.775,0.6156379680276827,0.3884700662556974,0.22716790177198506,0.013630074106319117,30.65942307881613
31.5,0.7875,0.6210127003182527,0.3993797659106242,0.22163293440762852,0.013297976064457716,31.155444193619452
32.0,0.8,0.6271057212715074,0.41047139057493554,0.21663433069657168,0.012998059841794305,31.651645735559963
32.5,0.8125,0.6340802145285481,0.4219105218084757,0.21216969272007216,0.012730181563204344,32.15412756727828
