Policy,Exact cost (€),Optimality gap (€),Gap (%)
Backward Induction,0.3622960631120519,0.0,0.0
Battery Level Urgency,0.7371297723258354,0.3748337092137835,103.46060787799782
Departure Urgency,0.7616289297013493,0.3993328665892974,110.22280042435642
Price-Oriented,3.998150847150567,3.635854784038515,1003.5590099454125
Night Charging,8.800131451319757,8.437835388207706,2328.9889809258093
Always-Maximum,14.57222798251377,14.209931919401718,3922.1877812696052
Minimum Battery Level,51.53292834170946,51.1706322785974,14123.98242449883
Always-Minimum,73.63381182168622,73.27151575857417,20224.209760709586
