"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|DK1","Without Sequence","21.80","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|DK1","Without Sequence","26.43","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|DK1","Without Sequence","26.10","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|DK1","Without Sequence","24.70","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|DK1","Without Sequence","24.74","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|DK1","Without Sequence","18.01","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|DK1","Without Sequence","10.18","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|DK1","Without Sequence","17.80","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|DK1","Without Sequence","19.76","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|DK1","Without Sequence","20.73","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|DK1","Without Sequence","24.76","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|DK1","Without Sequence","25.68","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|DK1","Without Sequence","16.56","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|DK1","Without Sequence","13.21","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|DK1","Without Sequence","9.15","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|DK1","Without Sequence","13.29","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|DK1","Without Sequence","27.03","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|DK1","Without Sequence","27.43","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|DK1","Without Sequence","27.29","",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|DK1","Without Sequence","26.96","",""
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|DK1","Without Sequence","26.70","",""
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|DK1","Without Sequence","26.47","",""
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|DK1","Without Sequence","26.09","",""
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|DK1","Without Sequence","24.88","",""
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|DK1","Without Sequence","18.12","",""
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|DK1","Without Sequence","14.99","",""
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|DK1","Without Sequence","17.79","",""
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|DK1","Without Sequence","24.51","",""
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|DK1","Without Sequence","11.83","",""
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|DK1","Without Sequence","14.55","",""
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|DK1","Without Sequence","22.58","",""
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|DK1","Without Sequence","41.92","",""
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|DK1","Without Sequence","47.95","",""
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|DK1","Without Sequence","38.02","",""
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|DK1","Without Sequence","35.04","",""
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|DK1","Without Sequence","35.22","",""
"02/01/2018 12:00:00 - 02/01/2018 13:00:00","BZN|DK1","Without Sequence","34.56","",""
"02/01/2018 13:00:00 - 02/01/2018 14:00:00","BZN|DK1","Without Sequence","34.10","",""
"02/01/2018 14:00:00 - 02/01/2018 15:00:00","BZN|DK1","Without Sequence","35.98","",""
"02/01/2018 15:00:00 - 02/01/2018 16:00:00","BZN|DK1","Without Sequence","38.05","",""
"02/01/2018 16:00:00 - 02/01/2018 17:00:00","BZN|DK1","Without Sequence","41.67","",""
"02/01/2018 17:00:00 - 02/01/2018 18:00:00","BZN|DK1","Without Sequence","42.39","",""
