"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2015 05:00:00 - 03/01/2015 06:00:00","BZN|DK1","Without Sequence","0.03","",""
"03/01/2015 06:00:00 - 03/01/2015 07:00:00","BZN|DK1","Without Sequence","-8.67","",""
"03/01/2015 07:00:00 - 03/01/2015 08:00:00","BZN|DK1","Without Sequence","4.46","",""
"03/01/2015 08:00:00 - 03/01/2015 09:00:00","BZN|DK1","Without Sequence","9.90","",""
"03/01/2015 09:00:00 - 03/01/2015 10:00:00","BZN|DK1","Without Sequence","14.29","",""
"03/01/2015 10:00:00 - 03/01/2015 11:00:00","BZN|DK1","Without Sequence","16.73","",""
"03/01/2015 11:00:00 - 03/01/2015 12:00:00","BZN|DK1","Without Sequence","22.31","",""
"03/01/2015 12:00:00 - 03/01/2015 13:00:00","BZN|DK1","Without Sequence","23.03","",""
"03/01/2015 13:00:00 - 03/01/2015 14:00:00","BZN|DK1","Without Sequence","22.40","",""
"03/01/2015 14:00:00 - 03/01/2015 15:00:00","BZN|DK1","Without Sequence","27.07","",""
"03/01/2015 15:00:00 - 03/01/2015 16:00:00","BZN|DK1","Without Sequence","28.29","",""
"03/01/2015 16:00:00 - 03/01/2015 17:00:00","BZN|DK1","Without Sequence","28.60","",""
"03/01/2015 17:00:00 - 03/01/2015 18:00:00","BZN|DK1","Without Sequence","28.88","",""
"03/01/2015 18:00:00 - 03/01/2015 19:00:00","BZN|DK1","Without Sequence","28.78","",""
"03/01/2015 19:00:00 - 03/01/2015 20:00:00","BZN|DK1","Without Sequence","28.54","",""
"03/01/2015 20:00:00 - 03/01/2015 21:00:00","BZN|DK1","Without Sequence","28.34","",""
"03/01/2015 21:00:00 - 03/01/2015 22:00:00","BZN|DK1","Without Sequence","27.26","",""
"03/01/2015 22:00:00 - 03/01/2015 23:00:00","BZN|DK1","Without Sequence","27.70","",""
"03/01/2015 23:00:00 - 04/01/2015 00:00:00","BZN|DK1","Without Sequence","14.27","",""
"04/01/2015 00:00:00 - 04/01/2015 01:00:00","BZN|DK1","Without Sequence","9.32","",""
"04/01/2015 01:00:00 - 04/01/2015 02:00:00","BZN|DK1","Without Sequence","0.10","",""
"04/01/2015 02:00:00 - 04/01/2015 03:00:00","BZN|DK1","Without Sequence","0.10","",""
"04/01/2015 03:00:00 - 04/01/2015 04:00:00","BZN|DK1","Without Sequence","0.10","",""
"04/01/2015 04:00:00 - 04/01/2015 05:00:00","BZN|DK1","Without Sequence","0.11","",""
"04/01/2015 05:00:00 - 04/01/2015 06:00:00","BZN|DK1","Without Sequence","6.80","",""
"04/01/2015 06:00:00 - 04/01/2015 07:00:00","BZN|DK1","Without Sequence","14.95","",""
"04/01/2015 07:00:00 - 04/01/2015 08:00:00","BZN|DK1","Without Sequence","25.49","",""
"04/01/2015 08:00:00 - 04/01/2015 09:00:00","BZN|DK1","Without Sequence","26.28","",""
"04/01/2015 09:00:00 - 04/01/2015 10:00:00","BZN|DK1","Without Sequence","27.32","",""
"04/01/2015 10:00:00 - 04/01/2015 11:00:00","BZN|DK1","Without Sequence","27.56","",""
"04/01/2015 11:00:00 - 04/01/2015 12:00:00","BZN|DK1","Without Sequence","27.32","",""
